title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1492: Conquest of Paradise,1992,154,47000000,6,3379,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
1991: The Year Punk Broke,1992,99,NA,6.9,166,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,44.5,,0,0,0,0,1,0,0
3 Ninjas,1992,98,NA,4,1392,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,,1,0,1,0,0,0,0
92 hak mooi gwai dui hak mooi gwai,1992,100,NA,5.9,32,4.5,0,4.5,4.5,4.5,24.5,14.5,4.5,4.5,24.5,,1,0,1,0,0,1,0
Aapathbandavudu,1992,173,NA,9.2,5,0,0,0,0,0,0,0,24.5,44.5,44.5,,0,0,0,1,0,0,0
Absent Without Leave,1992,95,NA,5.3,31,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,0,34.5,,0,0,0,1,0,1,0
"Accompagnatrice, L'",1992,111,NA,6.9,207,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
Aces: Iron Eagle III,1992,98,NA,3.2,536,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
Adorables mentiras,1992,108,NA,5.5,12,14.5,0,4.5,14.5,0,14.5,14.5,4.5,0,14.5,,0,0,1,0,0,0,0
Adventures in Dinosaur City,1992,88,NA,3.3,87,24.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
"Ai ni tsuite, Tokyo",1992,110,NA,6.4,8,14.5,0,0,0,14.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
Aileen Wuornos: The Selling of a Serial Killer,1992,87,NA,7,180,4.5,0,0,4.5,4.5,14.5,34.5,14.5,14.5,4.5,R,0,0,0,0,1,0,0
Al filo de la ley,1992,90,NA,4.1,5,0,24.5,44.5,24.5,24.5,0,0,0,0,0,,1,0,0,0,0,0,0
