title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
'Neath Brooklyn Bridge,1942,61,NA,6.1,114,0,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,1,1,0,0,0
A-Haunting We Will Go,1942,68,NA,5.6,81,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
Across the Pacific,1942,97,NA,6.6,493,4.5,4.5,4.5,4.5,4.5,24.5,34.5,24.5,4.5,4.5,,0,0,0,0,0,1,0
Addio Kira!,1942,95,NA,7.8,11,0,0,0,0,4.5,0,0,4.5,14.5,64.5,,0,0,0,0,0,0,0
"Adventures of Martin Eden, The",1942,87,NA,7.9,7,0,0,0,0,0,0,24.5,45.5,14.5,0,,0,0,0,0,0,0,0
"Affairs of Martha, The",1942,66,NA,6.5,27,0,0,0,0,14.5,14.5,44.5,14.5,0,4.5,,0,0,1,0,0,0,0
Afsporet,1942,102,NA,8.1,9,0,0,0,0,0,0,24.5,64.5,0,14.5,,0,0,0,1,0,1,0
Ala-Arriba!,1942,94,NA,8.1,7,0,0,0,14.5,0,0,24.5,0,14.5,44.5,,0,0,0,1,1,1,0
Alfa Tau!,1942,80,NA,8.6,5,0,0,0,24.5,0,0,0,0,24.5,64.5,,0,0,0,0,0,0,0
Alias Boston Blackie,1942,67,NA,6.8,22,0,0,0,0,4.5,34.5,14.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
All Through the Night,1942,107,750000,7,361,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,1,0,1,1,0,0,0
All Together,1942,3,NA,5.8,32,0,0,4.5,14.5,24.5,24.5,24.5,4.5,0,4.5,,0,1,0,0,0,0,1
Aloha Hooey,1942,8,NA,6.4,11,0,0,0,24.5,4.5,24.5,4.5,14.5,0,4.5,,0,1,1,0,0,0,1
Alona on the Sarong Seas,1942,7,NA,5.6,9,0,0,0,0,44.5,45.5,0,0,0,0,,0,1,1,0,0,0,1
Always in My Heart,1942,92,NA,5.3,67,4.5,0,4.5,4.5,14.5,14.5,4.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
American Empire,1942,82,NA,7,27,0,0,4.5,0,4.5,24.5,44.5,14.5,0,4.5,,0,0,0,0,0,0,0
