title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
'94 du bi dao zhi qing,1994,96,NA,5.9,53,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
00 Schneider - Jagd auf Nihil Baxter,1994,90,NA,5.9,339,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,,0,0,1,0,0,0,0
06,1994,87,NA,6.4,238,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,1,0
100 Years at the Movies,1994,9,NA,9.2,91,0,4.5,0,4.5,4.5,4.5,4.5,4.5,14.5,64.5,,0,0,0,0,1,0,1
1000 Rosen,1994,95,NA,5.1,17,14.5,4.5,0,0,0,4.5,14.5,34.5,4.5,14.5,,0,0,0,1,0,0,0
2002: The Rape of Eden,1994,90,NA,4,24,14.5,4.5,14.5,4.5,24.5,14.5,0,4.5,0,14.5,,1,0,1,1,0,0,0
3 Ninjas Kick Back,1994,93,NA,3.5,565,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,,1,0,1,0,0,0,0
7 jin gong,1994,90,NA,5.4,67,4.5,0,4.5,4.5,4.5,34.5,14.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
71 Fragmente einer Chronologie des Zufalls,1994,95,NA,6.6,176,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
8 Seconds,1994,105,NA,5.9,747,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
800 Two Lap Runners,1994,110,NA,4.7,13,4.5,0,4.5,0,14.5,14.5,14.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
89 mm od Europy,1994,12,NA,7.8,12,0,0,0,0,4.5,14.5,4.5,14.5,4.5,44.5,,0,0,0,0,1,0,1
A.P.E.X.,1994,98,NA,4.3,207,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Aapo,1994,55,NA,5,26,4.5,4.5,0,14.5,4.5,14.5,14.5,14.5,14.5,4.5,,0,0,0,1,0,0,0
Aatish,1994,155,NA,8.6,16,0,0,4.5,0,4.5,0,4.5,14.5,34.5,34.5,,1,0,0,0,0,0,0
Ab nach Tibet!,1994,128,NA,2.7,6,45.5,0,0,0,0,14.5,0,34.5,0,0,,0,0,0,0,0,0,0
Abducted,1994,2,NA,3.2,7,14.5,14.5,24.5,0,0,24.5,14.5,0,0,0,,0,1,0,0,0,0,1
Abducted II: The Reunion,1994,92,NA,3.1,64,24.5,14.5,4.5,4.5,4.5,4.5,4.5,0,4.5,24.5,,1,0,0,0,0,0,0
Abnormal Man,1994,117,NA,1.7,12,64.5,4.5,0,0,4.5,0,0,0,0,14.5,,0,0,0,0,0,0,0
Above the Rim,1994,96,NA,5.8,1065,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
"Abuelo Cheno y otras historias, El",1994,30,NA,4.5,7,0,0,0,14.5,0,0,0,0,44.5,44.5,,0,0,0,0,1,0,1
Ace Ventura: Pet Detective,1994,86,12000000,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
"Ach Shel Driks, Ha-",1994,50,NA,7.3,13,0,0,0,0,0,14.5,34.5,24.5,24.5,4.5,,0,0,0,1,0,0,0
Achterland,1994,93,NA,3.2,12,34.5,14.5,34.5,0,0,0,0,0,4.5,4.5,,0,0,0,0,0,0,0
Adamski,1994,89,NA,7.2,9,0,0,14.5,0,14.5,14.5,0,44.5,14.5,14.5,,0,0,1,0,0,1,0
Adeus Princesa,1994,93,NA,6.7,13,4.5,0,0,4.5,4.5,14.5,34.5,4.5,0,24.5,,0,0,0,1,0,0,0
"Adventures of Priscilla, Queen of the Desert, The",1994,104,NA,7.2,7721,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,1,0,0,0
"Affaire, L'",1994,96,NA,3,7,24.5,0,44.5,14.5,14.5,0,0,0,0,0,,0,0,0,1,0,0,0
Africa: The Serengeti,1994,39,NA,7.3,115,4.5,0,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,0,1,0,1
Aftermath,1994,30,NA,5.4,160,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,0,0,0,1
"Ah, Pook Is Here",1994,6,NA,6.1,23,0,0,0,0,24.5,14.5,24.5,14.5,4.5,14.5,,0,1,0,0,0,0,1
Ai no shinsekai,1994,115,NA,6.5,46,0,4.5,4.5,4.5,4.5,24.5,14.5,24.5,4.5,14.5,,0,0,0,1,0,1,0
Ailsa,1994,75,NA,5,11,0,0,4.5,4.5,0,0,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Aiqing wansui,1994,120,NA,7.5,402,4.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
"Air Up There, The",1994,107,NA,5.2,1276,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Airheads,1994,92,NA,5.5,6105,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
Akumulator 1,1994,102,2000000,7.1,272,4.5,0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0,0,1,0,0,0,0
Alegre ma non troppo,1994,97,NA,6.8,106,4.5,0,4.5,4.5,4.5,14.5,4.5,44.5,4.5,4.5,,0,0,1,0,0,1,0
Alicia,1994,8,NA,6.2,23,4.5,0,0,4.5,24.5,4.5,34.5,4.5,4.5,14.5,,0,0,0,0,0,0,1
All Things Bright and Beautiful,1994,93,NA,7.5,25,0,0,0,4.5,4.5,4.5,24.5,34.5,4.5,24.5,,0,0,0,0,0,0,0
Alles auf Anfang,1994,90,NA,4.1,22,14.5,4.5,4.5,4.5,4.5,24.5,4.5,14.5,0,14.5,,0,0,1,0,0,0,0
Alma's Rainbow,1994,85,NA,5.6,20,4.5,0,14.5,0,14.5,14.5,14.5,14.5,24.5,4.5,,0,0,1,1,0,0,0
